Algorithms,Data Type,Input Size,Time
Bubble Sort,Random,100,0.001123666763305664
Insertion Sort,Random,100,0.0006277561187744141
Merge Sort,Random,100,0.00038242340087890625
Bubble Sort,Nearly Sorted,100,0.0006699562072753906
Insertion Sort,Nearly Sorted,100,7.987022399902344e-05
Merge Sort,Nearly Sorted,100,0.0003032684326171875
Bubble Sort,Random,500,0.0308530330657959
Insertion Sort,Random,500,0.013379096984863281
Merge Sort,Random,500,0.0022902488708496094
Bubble Sort,Nearly Sorted,500,0.01759028434753418
Insertion Sort,Nearly Sorted,500,0.0019309520721435547
Merge Sort,Nearly Sorted,500,0.002242565155029297
Bubble Sort,Random,1000,0.12553691864013672
Insertion Sort,Random,1000,0.05551004409790039
Merge Sort,Random,1000,0.0051419734954833984
Bubble Sort,Nearly Sorted,1000,0.0720663070678711
Insertion Sort,Nearly Sorted,1000,0.0069580078125
Merge Sort,Nearly Sorted,1000,0.004332065582275391
Bubble Sort,Random,2000,0.521721363067627
Insertion Sort,Random,2000,0.23354125022888184
Merge Sort,Random,2000,0.01070713996887207
Bubble Sort,Nearly Sorted,2000,0.2978184223175049
Insertion Sort,Nearly Sorted,2000,0.031133174896240234
Merge Sort,Nearly Sorted,2000,0.010039806365966797
